"","X1","data_overview"
"1","launch_date","2023-01-01"
"2","start_date","2022-01-01"
"3","end_date","2023-12-31"
"4","L_3_month","2023-10-01"
"5","L_6_month","2023-07-01"
"6","enrolled_member","2975"
"7","activated_member","2462"
"8","min_claim_date","2022-01-01"
"9","max_claim_date","2024-05-31"
"10","min_PBM_date","2022-01-01"
"11","max_PBM_date","2024-06-10"
"12","min_census_date","2019-01-01"
"13","max_census_date","2024-04-28"
"14","all_claim_n_non_Hypertension","887808"
"15","all_claim_n_Hypertension","108362"
"16","pwd_claim_n_non_Hypertension","887808"
"17","pwd_claim_n_Hypertension","108362"
"18","method","launch-year"
"19","company_name","Aperture Science"
"20","actual_launch_date","2023-01-01"
"21","match_ratio","1"
"22","CCS_match","0"
"23","livongo_price","70"
"24","up_front_cost",NA
"25","seed","55555"
"26","chosen_pop","matched_capped_list"
"27","monthly_cutoff","50000"
"28","yearly_cutoff","100000"
"29","percent_cutoff","0.99"
"30","cap_pbm","1"
"31","percentile_value_PBM","0.8"
"32","milliman_value_PBM","30000"
"33","matching_var_list","age, female, risk_score, pre_total_costs"
"34","exact_matched_var","person_diabetes, pre_total_costs_cat"
"35","matching_option","optimal"
"36","chosen_pop_list","3"
"37","CCS_post_remove","0"
"38","CCS_method","updated"
"39","remove_low_user","1"
"40","include_base_year_members","1"
