"","Client","Column1","X3","X4","X5"
"1","Client Name","Los Pollos Hermanos",NA,NA,NA
"2","Launch Date","2023-01-01",NA,NA,NA
"3","Study Launch Date","2023-01-01",NA,NA,NA
"4","Study period start date","2022-01-01",NA,NA,NA
"5","Study period end date","2023-12-31",NA,NA,NA
"6","3 month date","2023-10-01",NA,NA,NA
"7","6 month","2023-07-01",NA,NA,NA
"8","Enrolled during study period","726",NA,NA,NA
"9","Activated during study period","621",NA,NA,NA
"10","Method","launch-year",NA,NA,NA
"11","Match ratio","1:1",NA,NA,NA
"12","Livongo Price","72",NA,NA,NA
"13","Livongo Up-front Cost","0",NA,NA,NA
"14","Medical Claims",NA,NA,"All claims","PwD claims*"
"15","Available","Y","Last Update time:","2024-03-27",NA
"16","Data type","All Claims","Final obs","1010244","122699"
"17","Min claim date","2022-01-01","Diabetic claims","58630","37686"
"18","Max claim date","2024-03-27","Non-diabetic claims","951614","85013"
"19","Cover study period","Y","Input files:",NA,NA
"20","Place of service","Y",NA,NA,NA
"21","Specialty","Y",NA,NA,NA
"22","Revenue_code","Y",NA,NA,NA
"23","Diag code","Y",NA,NA,NA
"24","Proc code","Y",NA,NA,NA
"25",NA,NA,"*Note: this is the claim used in analysis",NA,NA
"26","PBM Claims",NA,NA,NA,NA
"27","Available","Y","Last Update time:","2024-03-24",NA
"28","Min claim date","2022-01-01","Diabetic claims",NA,NA
"29","Max claim date","2024-03-24","Non-diabetic claims",NA,NA
"30","Cover study period","Y","Input files:",NA,NA
"31","Date variable","Y",NA,NA,NA
"32","Costs variable","Y",NA,NA,NA
"33","Eligibility File",NA,NA,NA,NA
"34","Available","Y","Last Update time:","2024-06-02",NA
"35","Min date","2007-01-01","Input files:",NA,NA
"36","Max date","2024-06-02",NA,NA,NA
"37","Cover study period","Y",NA,NA,NA
