"","X1","Methodology","X3","X4","X5","X6","X7","X8"
"1",NA,NA,"Members enrolled in Livongo for more than 3 months has been matched with non-members",NA,NA,NA,NA,NA
"2",NA,NA,"People aged over 65 were removed from the model population.",NA,NA,NA,NA,NA
"3",NA,NA,"Members and non-members are matched based on age, female, risk_score, pre_total_costs, pre_pharmacy_cost",NA,NA,NA,NA,NA
"4",NA,"Basic member and non-member information:",NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,"Non-member",NA,"Member",NA,NA
"6",NA,NA,"Criteria","count","Percent","count","Percent",NA
"7",NA,NA,"Ever enrolled members",NA,NA,"726",NA,NA
"8",NA,NA,"Ever activated members",NA,NA,"621",NA,NA
"9",NA,NA,"Total unique number of PwDs found in claims within study period","618",NA,"393",NA,NA
"10",NA,NA,"Age below 65","534","0.86407766990291257","352","0.89567430025445294",NA
"11",NA,NA,"Pre-launch eligible","400","0.6472491909385113","314","0.79898218829516543",NA
"12",NA,NA,"Post-launch eligible","399","0.64563106796116509","314","0.79898218829516543",NA
"13",NA,NA,"Enrolled in Livongo for more than 3 months","399","0.64563106796116509","313","0.79643765903307884",NA
"14","Applied CCS:","0","Enrolled in Livongo for more than 6 months","399","0.64563106796116509","305","0.77608142493638677",NA
"15","Removed CCS:","0","Remove populations with newly developed CCS (Kidney, Implant, Vascular Disease, CHF, Cancer, CVD)","0",NA,"0",NA,NA
"16",NA,NA,"with more than 50,000 monthly costs during the pre and post periods ","13","2.1035598705501618E-2","5","1.2722646310432569E-2",NA
"17",NA,NA,"with more than 100,000 annual costs during the pre and post periods","10","1.6181229773462782E-2","5","1.2722646310432569E-2",NA
"18",NA,NA,"with more than 95th percentile or 100,000 annual costs during the pre and post periods ","34","5.5016181229773461E-2","26","6.6157760814249358E-2",NA
"19",NA,NA,"Final number",NA,NA,NA,NA,NA
"20",NA,NA,"All","399",NA,"313",NA,NA
"21",NA,NA,"Without 50k monthly","386",NA,"308",NA,NA
"22",NA,NA,"Without 100k annual","389",NA,"308",NA,NA
"23",NA,NA,"95th percentile or 100,000 annual costs (Capped annual cost: $35873)","399",NA,"313",NA,NA
"24",NA,"Summary Stats",NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,"Non-member",NA,"Member",NA,NA
"26",NA,NA,NA,"count","Percent","count","Percent","p-value"
"27",NA,NA,"Total ","399",NA,"313",NA,NA
"28",NA,NA,"Age","51.9298245614035",NA,"52.642172523961698",NA,"0.376954744819818"
"29",NA,NA,"Risk Score","1.5087719298245601",NA,"1.5942492012779601",NA,"0.38000803508431502"
"30",NA,NA,"F","177","0.44360902255639095","132","0.4217252396166134","0.55934259653601104"
"31",NA,NA,"M","222","0.55639097744360899","181","0.57827476038338654","0.55934259653601104"
"32",NA,NA,"0-18","8","2.0050125313283207E-2","1","3.1948881789137379E-3","4.5773696839682999E-2"
"33",NA,NA,"18-34","34","8.5213032581453629E-2","14","4.472843450479233E-2","3.2512114220209401E-2"
"34",NA,NA,"35-44","27","6.7669172932330823E-2","36","0.11501597444089456","2.72515508632943E-2"
"35",NA,NA,"45-54","121","0.3032581453634085","107","0.34185303514376997","0.273910312941192"
"36",NA,NA,"55-64","209","0.52380952380952384","155","0.49520766773162939","0.44927905370876497"
